交易日期,股票代码,股票名称,是否交易,下日_是否交易,下日_开盘涨停,下日_一字涨停,下日_开盘跌停,下日_一字跌停,下日_是否ST,下日_是否退市,下日_开盘买入涨跌幅,总市值,流通市值,换手率,振幅1,振幅2,本周期涨跌幅,下周期每天涨跌幅
2007-03-30,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.034375000000000044,17997157475.9,9256056110.37,0.318782664108337,0.17597292724196345,0.039315277036818884,-0.010835913312693513,"[0.03599374021909241, -0.007552870090634434, -0.009132420091324311, 0.019969278033794113, -0.0060240963855421326]"
2007-04-06,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.012389380530973604,123025436190.0,37636439355.0,0.07528856931104874,0.3238560639715675,0.05117499648259557,0.05018587360594817,"[0.012389380530973604, 0.02412587412587408, 0.04301809491293973, -0.016693944353518897, -0.0066577896138482195]"
2007-04-06,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.025411061285500747,18588613355.4,15550093884.6,0.29677722123403827,0.17597292724196345,0.03764151033566469,0.03125,"[0.03939393939393954, 0.058309037900874605, -0.00688705234159781, 0.0, -0.026352288488210918]"
2007-04-13,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.03716216216216206,129949699678.0,39754738065.6,0.0735264479463219,0.3862527716186246,0.05094745780592981,0.05628318584070802,"[0.028820375335120607, -0.028013029315960947, -0.03451742627345844, -0.06178410274210333, 0.03403625601183857]"
2007-04-13,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.022824536376604865,19771525114.4,16539645313.6,0.3735062161169995,0.26903553299492433,0.03877387963849677,0.049327354260089606,"[0.021367521367521514, -0.001394700139469962, 0.0432960893854748, -0.04149933065595712, 0.07402234636871508]"
2007-04-20,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.022889842632331847,121718971381.0,37236760353.0,0.08046134195341234,0.26370967741935436,0.05218802531790463,-0.05574324324324331,"[0.023255813953488413, -0.023076923076923106, 0.03149606299212593, -0.01526717557251911, -0.03136011275546158]"
2007-04-20,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.05121638924455851,21658551015.6,18118215450.4,0.3347658788253395,0.2396825396825395,0.045297316529013185,0.09700427960057079,"[0.06762028608582571, -0.0024360535931792215, -0.007326007326007189, 0.0036900369003689537, -0.02941176470588236]"
2007-04-27,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.011029411764705954,119715725341.0,36623919216.6,0.10647420918929201,0.18712121212121224,0.05332591494858709,-0.016809728183118766,[-0.021462349945434722]
2007-04-27,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.0012658227848102444,22306336026.5,18660112661.5,0.2945332068835537,0.33124018838304536,0.04768116174847231,0.014084507042253502,[-0.0037878787878787845]
2007-04-30,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.016992046276211203,117146344549.0,35837883846.0,0.028798688963751266,0.18712121212121224,0.05205898357520983,-0.011029411764705954,"[0.045724907063197096, 0.02701741912548883, 0.013845621322256862, 0.0]"
2007-04-30,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.040100250626566414,22221842329.4,19479244441.9,0.03687216689242095,0.3188180404354586,0.04712126575668263,-0.0012658227848102444,"[0.05196451204055785, -0.013253012048192958, 0.06959706959706957, 0.0]"
2007-05-11,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.01667824878387769,127554514195.0,39021993228.6,0.12436679450405701,0.18712121212121224,0.05483262998238473,0.05892986261749833,"[-0.001024240355069872, -0.07484620642515383, 0.010712966383450206, 0.021198830409356884, -0.007158196134574135]"
2007-05-18,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.019992595335061036,120804446015.0,90449273271.1,0.08422111992174502,0.18712121212121224,0.05536542761717809,-0.03613620569840159,"[-0.006849315068493067, 0.0, 0.005444646098003547, 0.05090252707581233, 0.011336310546204098]"
2007-05-18,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.06094527363184077,23714564311.0,20787736147.1,0.22344633990594473,0.3411078717201159,0.05337373539774193,-0.0528683914510687,"[0.013064133016627011, 0.03165298944900363, 0.001136363636363713, -0.024971623155505163, -0.0034924330616995514]"
2007-05-25,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.005033557046979942,128207746600.0,95992307321.6,0.0657008677150618,0.1597744360902258,0.04772205657096122,0.08996667900777489,"[0.00713315217391286, 0.0023608768971332683, 0.03263795423956939, 0.10003258390355163, -0.022215639810426513]"
2007-05-25,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.010428736964078755,24108868230.6,21133375465.4,0.2619268401331661,0.18863049095607187,0.04907700479910665,0.06467661691542315,"[0.01869158878504673, 0.00917431192660545, -0.10000000000000009, -0.023989898989898895, -0.09573091849935322]"
2007-06-01,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.0390995260663507,143754677828.0,107632678828.0,0.07193176579180253,0.340601503759399,0.050136282760460116,0.10771812080536924,"[-0.017267494698576247, 0.010789149198520365, -0.015858493443122734, 0.014254725751471797, -0.034524900702719075]"
2007-06-01,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.09759547383309763,19687031417.3,17257277395.3,0.31696297339983226,0.31994261119081724,0.056062498777456025,-0.19003476245654705,"[-0.0872675250357654, 0.10031347962382431, 0.031339031339031376, 0.012430939226519389, 0.0]"
2007-06-08,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.022784810126582178,137614293225.0,103035221174.0,0.042882352768850475,0.32123008521674734,0.05746667301433047,-0.06398104265402826,"[0.022784810126582178, 0.0021658415841583345, 0.0382834208088918, 0.016651798988997824, 0.05030710734132793]"
2007-06-08,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.0027173913043478937,20644626650.8,18096687168.4,0.19377409148804103,0.4580031695721072,0.06403700656066555,0.03677510608203671,"[0.0013642564802183177, 0.028610354223433276, 0.029139072847682135, -0.03732303732303721, -0.02540106951871668]"
2007-06-15,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.016208791208791373,156383837649.0,117088442796.0,0.05286206184143947,0.36407407407407444,0.06366310541095369,0.1363924050632912,"[0.030075187969925032, -0.0005406866720736314, -0.04490127130105481, 0.03086944208439535, 0.027197802197802323]"
2007-06-15,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.014965986394557929,20531968388.0,17997933077.5,0.1784819074039031,0.41838351822503905,0.06253106877499745,-0.009510869565217517,"[0.023319615912208436, 0.009383378016085908, -0.021248339973439556, -0.016282225237449155, -0.047552447552447696]"
2007-06-22,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.014737406216505766,162829064041.0,121914143028.0,0.038815790346105765,0.4000000000000008,0.06863078332794091,0.027197802197802545,"[0.01283765712757412, -0.01795616583047266, 0.039257865017477744, -0.027425614489003713, -0.026602819898909336]"
2007-06-22,sh600001,XD邯郸钢,1.0,1.0,False,False,False,False,False,False,-0.053779069767441845,19180069234.9,16812883985.9,0.15946884747723894,0.40887480190174363,0.061879065819767085,-0.06051091765377459,"[-0.04405286343612336, 0.03533026113671278, -0.0029673590504452063, -0.023809523809523836, -0.02896341463414631]"
2007-06-29,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.019889502762431066,159345157883.0,119305656416.0,0.03326657639065414,0.3527397260273972,0.06543610049285668,-0.01956055734190798,"[-0.03033615742006035, 0.011555806087937048, -0.04485929228197272, -0.021295215869311712, 0.0324888226527571]"
2007-06-29,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.015698587127158437,17940828344.5,15726588985.4,0.10509299553351065,0.24564183835182285,0.059935830117209134,-0.0741279069767442,"[0.015698587127158437, 0.0, -0.026275115919629055, -0.07301587301587298, 0.042808219178082085]"
2007-07-06,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.026505329876116424,150853136624.0,112947470300.0,0.016743181622191676,0.2866449511400653,0.05962733856834408,-0.0430939226519339,"[0.028579676674364896, 0.014875105248385978, 0.008019911504425048, 0.023319615912208436, -0.023056300268096463]"
2007-07-06,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.003278688524590345,17152220505.2,15035310348.7,0.08565070538177125,0.41452303045557537,0.055755366153396234,-0.04395604395604402,"[0.0049261083743843415, -0.03758169934640532, 0.01018675721561979, 0.006722689075630228, -0.005008347245409106]"
2007-07-13,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.048800436205016284,158691925479.0,118816565177.0,0.015824980769297434,0.21463714637146403,0.052420703679441495,0.04984154422356668,"[-0.04253567508232703, 0.041272570937231245, 0.011055831951354289, 0.021869874248223287, 0.09871589085072219]"
2007-07-13,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.04849498327759194,16786081151.2,14714359553.0,0.07290947595345879,0.3767304304052357,0.05302869195299065,-0.022950819672130973,"[-0.0453020134228187, 0.012302284710017375, 0.0, 0.005208333333333481, 0.03972366148531936]"
2007-07-20,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.006763285024154575,178855032366.0,133913181444.0,0.0302354875475286,0.26969498550706916,0.05468176568510034,0.12432588963579061,"[0.01485269052836613, 0.0035988483685220896, 0.011235955056179803, -0.021749408983451457, -0.021991300144997616]"
2007-07-20,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.09966777408637872,16955068545.4,14862490689.5,0.07179506627067886,0.2846715328467151,0.05189424298759808,0.006688963210702115,"[0.09966777408637872, -0.0166163141993958, 0.01382488479262678, 0.003030303030303161, 0.0226586102719033]"
